"Date","Price","Open","High","Low","Vol.","Change %"
"11/10/2022","54.90","55.10","55.10","54.20","36.85K","-0.36%"
"11/09/2022","55.10","53.00","55.50","52.60","269.24K","5.76%"
"11/08/2022","52.10","54.50","54.50","52.00","113.83K","-2.62%"
"11/04/2022","53.50","53.80","55.80","52.50","6.54K","1.90%"
"11/03/2022","52.50","55.90","55.90","52.50","8.68K","-4.72%"
"11/02/2022","55.10","56.10","56.30","55.00","22.94K","-2.30%"
"11/01/2022","56.40","56.00","56.40","55.00","185.14K","2.55%"
"10/31/2022","55.00","55.00","56.50","54.00","575.93K","0.00%"
"10/28/2022","55.00","55.00","55.00","53.60","302.03K","1.85%"
"10/27/2022","54.00","55.50","55.50","54.00","4.96K","1.89%"
"10/26/2022","53.00","54.00","55.50","53.00","43.38K","-1.85%"
"10/25/2022","54.00","53.50","55.00","52.90","28.75K","1.69%"
"10/21/2022","53.10","54.20","54.50","53.00","55.28K","-2.21%"
"10/20/2022","54.30","56.50","56.50","54.30","28.58K","-1.09%"
"10/19/2022","54.90","56.50","56.50","54.90","87.14K","-2.83%"
"10/18/2022","56.50","57.20","57.40","55.00","15.81K","-1.22%"
"10/17/2022","57.20","58.50","58.50","57.20","1.58K","-0.52%"
"10/14/2022","57.50","58.10","59.00","56.00","99.52K","0.88%"
"10/13/2022","57.00","55.10","59.40","55.10","28.08K","2.70%"
"10/12/2022","55.50","55.00","57.00","54.20","35.89K","1.46%"
"10/11/2022","54.70","57.00","57.90","54.10","21.82K","-5.53%"
"10/07/2022","57.90","59.00","59.00","57.00","21.24K","-1.86%"
"10/06/2022","59.00","60.50","62.00","58.70","23.58K","-1.17%"
"10/05/2022","59.70","58.70","61.80","58.70","51.31K","-0.17%"
"10/04/2022","59.80","60.00","61.00","57.20","59.88K","-0.33%"
"10/03/2022","60.00","63.50","63.50","60.00","246.46K","-5.51%"
"09/30/2022","63.50","64.00","64.90","63.20","351.08K","-0.16%"
"09/29/2022","63.60","63.00","64.00","63.00","8.68K","0.79%"
"09/28/2022","63.10","63.80","65.00","63.00","47.16K","-1.10%"
"09/27/2022","63.80","64.20","64.20","63.00","62.48K","-0.62%"
"09/26/2022","64.20","67.00","67.00","64.00","130.11K","-3.75%"
"09/23/2022","66.70","69.00","69.00","66.60","25.08K","-2.20%"
"09/22/2022","68.20","66.00","70.00","64.90","497.61K","3.49%"
"09/21/2022","65.90","63.00","66.00","63.00","186.91K","4.44%"
"09/20/2022","63.10","63.00","63.90","62.50","125.67K","0.16%"
"09/19/2022","63.00","63.00","63.30","62.50","59.30K","0.80%"
"09/16/2022","62.50","61.40","62.50","61.30","123.33K","1.79%"
"09/15/2022","61.40","61.00","61.70","60.30","158.00K","0.33%"
"09/14/2022","61.20","61.00","61.50","60.10","76.16K","0.33%"
"09/13/2022","61.00","61.50","62.90","60.00","79.74K","-0.33%"
"09/12/2022","61.20","62.00","63.00","61.00","49.69K","-2.24%"
"09/09/2022","62.60","61.90","64.00","61.90","216.95K","1.13%"
"09/08/2022","61.90","61.90","61.90","60.00","181.27K","3.17%"
"09/07/2022","60.00","58.00","61.00","58.00","110.05K","3.45%"
"09/06/2022","58.00","57.60","58.00","57.50","45.87K","0.87%"
"09/05/2022","57.50","57.50","57.80","56.80","131.92K","1.23%"
"09/02/2022","56.80","57.10","58.00","56.80","82.49K","-0.35%"
"09/01/2022","57.00","54.00","57.00","54.00","181.02K","6.54%"
"08/31/2022","53.50","53.50","53.50","52.90","13.50K","1.52%"
